Battery,Car_name,Car_name_link,Efficiency,Fast_charge,Price.DE.,Range,Top_speed,acceleration..0.100.
54.0,Hyundai IONI,https://ev-d,148,900.0,43900.0,365,185,8.8
86.0,Volkswagen I,https://ev-d,165,800.0,0.0,520,180,7.0
46.3,Opel Mokka-e,https://ev-d,178,420.0,40650.0,260,150,9.2
66.5,Mercedes EQB,https://ev-d,196,490.0,0.0,340,160,6.2
61.7,MG MG4 Elect,https://ev-d,193,560.0,46990.0,320,200,3.8
62.0,Smart #1 Bra,https://ev-d,197,490.0,48990.0,315,180,3.9
64.0,Subaru Solte,https://ev-d,200,480.0,57490.0,320,160,6.9
108.4,Mercedes EQS,https://ev-d,171,950.0,109551.0,635,210,6.1
106.5,Fisker Ocean,https://ev-d,201,630.0,69950.0,530,205,3.9
79.0,Volvo XC40 R,https://ev-d,195,600.0,53000.0,405,180,7.3
94.0,Zeekr 001 Lo,https://ev-d,177,740.0,60970.0,530,200,7.2
77.0,Skoda Enyaq ,https://ev-d,159,720.0,51150.0,485,180,6.7
81.2,BMW i5 M60 x,https://ev-d,191,630.0,99500.0,425,230,3.8
85.0,Audi e-tron ,https://ev-d,202,1030.0,106050.0,420,245,4.1
74.0,Kia EV6 Long,https://ev-d,185,1050.0,55980.0,400,185,5.2
57.4,MG MG5 Elect,https://ev-d,171,330.0,38490.0,335,185,7.7
30.0,Mazda MX-30,https://ev-d,176,210.0,35990.0,170,140,9.7
94.0,Polestar 4 L,https://ev-d,190,740.0,0.0,495,180,7.4
84.0,Maxus MIFA 9,https://ev-d,230,330.0,68990.0,365,180,9.2
39.2,Hyundai Kona,https://ev-d,160,210.0,36400.0,245,155,9.9
106.5,Fisker Ocean,https://ev-d,199,640.0,57000.0,535,200,4.2
52.0,Renault Zoe ,https://ev-d,168,230.0,37840.0,310,140,9.5
96.0,Kia EV9 99.8,https://ev-d,213,780.0,72490.0,450,185,9.4
64.0,Lexus RZ 450,https://ev-d,200,480.0,68000.0,320,160,5.6
95.0,Tesla Model ,https://ev-d,200,660.0,100970.0,475,250,3.9
70.5,Mercedes EQB,https://ev-d,170,560.0,53514.0,415,160,8.9
74.0,Hyundai IONI,https://ev-d,192,1010.0,59200.0,385,185,5.1
50.8,Peugeot e-30,https://ev-d,169,450.0,44765.0,300,170,9.8
95.0,Tesla Model ,https://ev-d,209,630.0,115970.0,455,262,2.6
79.0,Volvo XC40 R,https://ev-d,203,580.0,59950.0,390,180,4.8
54.0,Hyundai IONI,https://ev-d,183,720.0,43900.0,295,185,8.5
77.0,Volkswagen I,https://ev-d,169,680.0,48970.0,455,180,6.7
66.5,Mercedes EQB,https://ev-d,196,490.0,0.0,340,160,8.0
106.0,Audi Q8 e-tr,https://ev-d,202,660.0,87550.0,525,200,5.6
64.7,BMW iX2 xDri,https://ev-d,170,550.0,56500.0,380,180,5.6
77.0,Audi Q4 e-tr,https://ev-d,183,630.0,52950.0,420,180,6.7
64.0,Zeekr X Priv,https://ev-d,183,520.0,50470.0,350,180,3.8
105.2,BMW iX M60,https://ev-d,217,650.0,136100.0,485,250,3.8
50.8,Fiat 600e,https://ev-d,167,490.0,36490.0,305,150,9.0
62.0,Smart #3,https://ev-d,175,550.0,43490.0,355,180,6.7
70.0,MG Marvel R,https://ev-d,192,400.0,46990.0,365,200,7.9
59.0,Nissan Leaf ,https://ev-d,174,240.0,41100.0,340,157,6.9
79.0,Polestar 2 L,https://ev-d,176,670.0,58775.0,450,205,4.5
25.0,Dacia Spring,https://ev-d,156,170.0,24550.0,160,125,13.7
90.6,Mercedes EQE,https://ev-d,171,790.0,0.0,530,210,6.4
77.0,Volkswagen I,https://ev-d,169,680.0,47595.0,455,160,7.9
108.4,Mercedes EQS,https://ev-d,224,720.0,135434.0,485,210,4.6
96.0,Kia EV9 99.8,https://ev-d,231,720.0,82380.0,415,200,5.3
60.0,Renault Mega,https://ev-d,158,530.0,47000.0,380,150,10.5
58.0,Skoda Enyaq ,https://ev-d,171,460.0,44200.0,340,160,8.7
46.3,Citroen e-C4,https://ev-d,162,460.0,37540.0,285,150,9.7
91.0,Ford Mustang,https://ev-d,190,420.0,58500.0,480,180,7.0
112.0,Lucid Air Gr,https://ev-d,168,840.0,159000.0,665,270,3.0
66.0,Volvo XC40 R,https://ev-d,191,420.0,47500.0,345,180,7.3
67.0,Polestar 2 S,https://ev-d,165,480.0,50775.0,405,205,6.4
50.8,Peugeot e-20,https://ev-d,169,480.0,40050.0,300,150,9.1
75.8,XPENG G9 RWD,https://ev-d,190,840.0,0.0,400,200,6.4
45.4,ORA Funky Ca,https://ev-d,175,240.0,38990.0,260,160,8.3
76.6,Audi Q4 e-tr,https://ev-d,199,550.0,0.0,385,180,6.2
76.5,Hongqi E-HS9,https://ev-d,239,440.0,0.0,320,200,6.5
107.0,Polestar 3 L,https://ev-d,218,640.0,88600.0,490,210,5.0
70.0,MG Marvel R ,https://ev-d,200,380.0,50990.0,350,200,4.9
49.0,MG ZS EV Sta,https://ev-d,185,250.0,33990.0,265,175,8.6
77.0,CUPRA Tavasc,https://ev-d,179,640.0,0.0,430,180,5.6
64.0,Toyota bZ4X ,https://ev-d,203,470.0,57390.0,315,160,6.9
89.0,Audi Q8 e-tr,https://ev-d,209,660.0,74400.0,425,200,6.0
63.0,Nissan Ariya,https://ev-d,188,450.0,47490.0,335,160,7.5
54.0,Kia EV6 Stan,https://ev-d,177,750.0,46990.0,305,185,8.5
